name,symbol,current_price,market_cap,total_volume,date,time
Bitcoin,btc,92048.0,1823618329237,122775279832,2024-11-26,16:33:49
Ethereum,eth,3311.46,399455355419,56729749114,2024-11-26,16:33:49
Tether,usdt,0.998863,132545833894,63684742670,2024-11-26,16:33:49
Solana,sol,225.82,107514613605,10049863670,2024-11-26,16:33:49
BNB,bnb,617.05,90203706401,2510045762,2024-11-26,16:33:49
XRP,xrp,1.32,75552797823,11754836117,2024-11-26,16:33:49
Dogecoin,doge,0.374862,55257261037,11385449619,2024-11-26,16:33:49
USDC,usdc,0.998619,38674051546,9476913796,2024-11-26,16:33:49
Lido Staked Ether,steth,3308.98,32454643536,142198156,2024-11-26,16:33:49
Cardano,ada,0.900978,32355360404,3318387796,2024-11-26,16:33:49
